name	variety	region	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	tags	sources
Almonds		Vic				yes									nut	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Apples		AU			yes	yes	yes	yes	yes	yes	yes				fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Apples	Lady Williams	NSW									yes				fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Apples		NSW			yes	yes	yes	yes	yes	yes					fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Apples		SA			yes	yes	yes	yes	yes	yes	yes	yes	yes		fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Apples	Akane	Tas		yes											fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Apples	Sundowner	Tas						yes							fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Apples	Vista bella	Tas	yes												fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Apples		Tas			yes	yes	yes		yes	yes	yes	yes	yes	yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Apples		Vic			yes	yes	yes	yes	yes	yes					fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Apples		WA			yes	yes	yes	yes	yes	yes					fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Apples (green)		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Apples (red)		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Apricots		AU	yes											yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Apricots		NSW	yes											yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Apricots		Qld	yes	yes										yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Apricots		SA	yes	yes										yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Apricots		Tas	yes	yes	be quick									yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Apricots		Vic	yes	yes										yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Apricots		WA	yes	yes							yes	yes	yes	yes	fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Artichokes		AU									yes	yes	yes		vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Artichokes	Globe	NSW									yes	yes	yes		vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Artichokes		Qld			yes	yes	yes	yes	yes	yes	yes	yes	yes		vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Artichokes	Globe	SA									yes	yes	yes		vegetable	https://adelaidecentralmarket.com.au/in-season-spring/
Artichokes	Globe	Tas							yes	yes	yes	be quick			vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Artichokes		Vic										yes		yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Artichokes		WA									yes	yes	yes		vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Asian greens		AU			yes	yes	yes	yes	yes	yes	yes	yes			vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Asian greens		NSW									yes	yes	yes		vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
